Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,code saison (0 : hors saison ; 1 : de saison ; 2 : mix de consommation FR),code avion (1 : par avion),Livraison,Matériau d'emballage,Préparation,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
26211,26211,"viandes, œufs, poissons",poissons cuits,"Saumon, cuit au micro-ondes, élevage","Salmon, microwaved, farmed",2,0,Glacé,PP,Four,3.56,1.59,6.07,0.85,2.61,25.51,0.36,0.04,0.15,26.40,120.65,205.30,131.41,45.13,114.35,7.70
26230,26230,"viandes, œufs, poissons",poissons cuits,"Saumon, élevage, rôti/cuit au four","Salmon, farmed, roasted/baked",2,0,Glacé,PP,Four,3.56,1.62,6.13,0.90,3.23,25.69,0.36,0.04,0.16,26.44,120.75,205.60,134.64,45.25,127.33,8.25
26229,26229,"viandes, œufs, poissons",poissons cuits,"Saumon, grillé/poêlé","Salmon, grilled/pan-fried",2,0,Glacé,PP,Poêle,3.56,1.60,6.17,0.86,2.71,25.68,0.36,0.04,0.16,26.41,120.95,208.13,133.23,45.15,117.30,7.90
26111,26111,"viandes, œufs, poissons",poissons crus,"Saupe, crue","Salema, raw",2,0,Glacé,PS,Pas de préparation,3.64,1.31,6.79,1.40,0.62,119.19,1.20,0.17,0.45,0.73,41.63,17.00,75.19,1.03,100.53,211.33
20090,20090,"fruits, légumes, légumineuses et oléagineux",légumes,"Scarole, crue",Escaroles,2,0,Glacé,Pas d'emballage,Pas de préparation,2.60,0.17,1.11,0.20,1.09,3.05,0.07,0.01,0.03,0.19,2.03,-1.67,25.59,3.51,31.03,7.30
26210,26210,"viandes, œufs, poissons",poissons crus,"Sébaste du nord, ou dorade sébaste, ou daurade sébaste, crue","Golden redfish, raw",2,0,Glacé,PS,Pas de préparation,3.68,1.87,10.97,2.45,0.93,224.31,2.25,0.33,0.86,0.61,78.28,25.06,90.11,1.04,161.15,20.02
9390,9390,produits céréaliers,"pâtes, riz et céréales","Seigle entier, cru","Rye, whole, raw",2,0,Ambiant (long),LPDE,Pas de préparation ,3.15,0.11,0.80,0.09,0.26,2.71,0.06,0.01,0.03,0.20,10.44,25.07,19.73,0.42,14.37,2.50
11044,11044,aides culinaires et ingrédients divers,sels,Sel au céleri,Celery salt,2,0,Ambiant (long),V (PVC),Pas de préparation,2.44,0.08,0.65,0.07,0.24,2.15,0.03,0.00,0.01,0.27,0.76,3.53,17.74,0.80,13.14,5.81
11058,11058,aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment",2,0,Ambiant (long),V (PVC),Pas de préparation,2.87,0.08,0.65,0.07,0.24,2.15,0.03,0.00,0.01,0.27,0.76,3.53,17.74,0.80,13.14,5.81
11017,11017,aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), no enrichment",2,0,Ambiant (long),V (PVC),Pas de préparation,2.44,0.08,0.65,0.07,0.24,2.15,0.03,0.00,0.01,0.27,0.76,3.53,17.74,0.80,13.14,5.81
11083,11083,aides culinaires et ingrédients divers,sels,"Sel marin gris, non iodé, non fluoré","Sea salt, grey, no enrichment",2,0,Ambiant (long),V (PVC),Pas de préparation,2.44,0.08,0.65,0.07,0.24,2.15,0.03,0.00,0.01,0.27,0.76,3.53,17.74,0.80,13.14,5.81
12845,12845,lait et produits laitiers,fromages,Selles-sur-Cher (fromage de chèvre),"Selles-sur-Cher cheese, from goat's milk",2,0,Glacé,LPDE,Pas de préparation,2.45,0.95,6.70,0.32,0.90,13.88,1.11,0.16,0.68,1.09,27.86,417.46,119.39,5.23,43.62,5.04
39218,39218,lait et produits laitiers,produits laitiers frais et assimilés,"Semoule au lait, rayon frais","Semolina pudding, refrigerated",2,0,Glacé,PP,Pas de préparation,1.85,0.18,1.68,0.15,0.79,3.38,0.12,0.02,0.07,0.21,5.50,70.90,24.38,0.79,25.87,2.01
9610,9610,produits céréaliers,"pâtes, riz et céréales","Semoule de blé dur, crue","Durum wheat semolina, raw",2,0,Ambiant (long),LPDE,Pas de préparation ,2.56,0.27,1.32,0.12,0.45,5.02,0.26,0.04,0.16,0.61,16.30,208.57,20.37,0.64,22.24,5.02
15010,15010,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Sésame, graine",Sesame seed,2,0,Ambiant (long),LPDE,Pas de préparation,4.12,1.06,6.06,0.60,0.74,28.66,0.82,0.12,0.51,3.16,85.42,1113.29,72.11,3.54,60.67,23.68
15035,15035,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Sésame, graine décortiquée","Sesame seed, husked",2,0,Ambiant (long),LPDE,Pas de préparation,4.40,1.06,6.06,0.60,0.74,28.66,0.82,0.12,0.51,3.16,85.42,1113.29,72.11,3.54,60.67,23.68
